"filename", "language", "JSON", "Markdown", "C++", "Swift", "YAML", "XML", "Dart", "Groovy", "Properties", "HTML", "comment", "blank", "total"
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\analysis_options.yaml", "YAML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 14, 13, 96
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\google-services-old.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\google-services.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\src\debug\AndroidManifest-old.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 6, 0, 55
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\src\google-services.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 6, 0, 55
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
