Date : 2024-09-06 01:29:47
Directory : c:\Users\Chris Milner\Dev\Code\Flutter\unearthed
Total : 129 files,  7778 codes, 985 comments, 967 blanks, all 9730 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         76 |      5,952 |        765 |        703 |      7,420 |
| XML        |         12 |        584 |         56 |         10 |        650 |
| C++        |         16 |        554 |        121 |        182 |        857 |
| JSON       |          8 |        389 |          0 |          4 |        393 |
| Groovy     |          3 |        122 |         18 |         27 |        167 |
| Swift      |          6 |         66 |          7 |         20 |         93 |
| YAML       |          3 |         60 |          2 |          9 |         71 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| Markdown   |          2 |          5 |          0 |          4 |          9 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        129 |      7,778 |        985 |        967 |      9,730 |
| . (Files)                                                                                                      |          5 |         63 |          2 |         11 |         76 |
| android                                                                                                        |         17 |        450 |         72 |         36 |        558 |
| android (Files)                                                                                                |          3 |         56 |          4 |         15 |         75 |
| android\app                                                                                                    |         13 |        389 |         68 |         20 |        477 |
| android\app (Files)                                                                                            |          3 |        162 |         14 |         13 |        189 |
| android\app\src                                                                                                |         10 |        227 |         54 |          7 |        288 |
| android\app\src (Files)                                                                                        |          1 |         47 |          0 |          0 |         47 |
| android\app\src\debug                                                                                          |          2 |         52 |         10 |          1 |         63 |
| android\app\src\main                                                                                           |          6 |         79 |         38 |          6 |        123 |
| android\app\src\main (Files)                                                                                   |          1 |         49 |          6 |          0 |         55 |
| android\app\src\main\res                                                                                       |          5 |         30 |         32 |          6 |         68 |
| android\app\src\main\res\drawable                                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                          |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                |          2 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                                                          |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                        |          1 |         49 |          6 |          0 |         55 |
| android\gradle                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                         |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                            |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                                     |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                             |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                     |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                  |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                          |          2 |         61 |          2 |          2 |         65 |
